stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
040000003851,,Cemetery,,51.579374,-0.692367,,,,,,
040000003853,,Brookbank,,51.577908,-0.696407,,,,,,
040000003855,,"Cores End",,51.578203,-0.701926,,,,,,
040000003957,,"Bourne End Acadamy",,51.581321,-0.705806,,,,,,
040000003861,,"New Road",,51.578235,-0.708116,,,,,,
040000003863,,"Railway Station",,51.577612,-0.710342,,,,,,
040000003838,,"Railway Station",,51.577208,-0.710353,,,,,,
040000003836,,"New Road",,51.578328,-0.708345,,,,,,
040000003834,,"Cores End",,51.578276,-0.701996,,,,,,
040000003832,,Brookbank,,51.578094,-0.6962,,,,,,
040000003830,,Cemetery,,51.579282,-0.692991,,,,,,
040000003828,,"Town Lane",,51.582152,-0.689083,,,,,,
040000003826,,"The Red Lion PH",,51.588233,-0.683755,,,,,,
040000003824,,"Wycombe Lane",,51.592797,-0.684186,,,,,,
040000003822,,"Glory Mill Lane",,51.595539,-0.685753,,,,,,
040000003820,,"Boundary Place",,51.599223,-0.69031,,,,,,
040000003818,,"Hedge Lea",,51.600918,-0.693092,,,,,,
040000003816,,"Knaves Beech",,51.602313,-0.695679,,,,,,
040000003814,,"Lammas Way",,51.60418,-0.698629,,,,,,
040000003810,,"St Peter's Close",,51.606548,-0.702158,,,,,,
040000002984,,"Woodside Close",,51.608386,-0.704112,,,,,,
040000003808,,"Dolphin Court",,51.611239,-0.707613,,,,,,
040000003806,,"Rugby Club",,51.613449,-0.71314,,,,,,
040000003804,,"General Havelock",,51.614809,-0.716683,,,,,,
040000003802,,"Beech Road",,51.615844,-0.720019,,,,,,
040000003800,,"Marsh School",,51.617634,-0.720908,,,,,,
040000003798,,"Abbey Barn Road",,51.617905,-0.719326,,,,,,
040000003857,,"Furlong Road",,51.577537,-0.706794,,,,,,
040000003859,,"Post Office",,51.5752,-0.709313,,,,,,
0400000T9002,,"Bridge Street",,51.631245,-0.757435,,,,,,
040000003318,,"Oxford Road",,51.631763,-0.755433,,,,,,
040000003062,,"Abbey School",,51.626687,-0.750776,,,,,,
040000005000,,"Fernlea Close",,51.603951,-0.714607,,,,,,
040000005001,,"Fernlea Close",,51.604005,-0.714533,,,,,,
040000003124,,"The Common",,51.601461,-0.70971,,,,,,
040000002919,,"Chapman Lane",,51.599355,-0.706261,,,,,,
040000005862,,Greenlands,,51.598842,-0.703749,,,,,,
040000005860,,"Straight Bit",,51.597611,-0.700636,,,,,,
040000005838,,"Northern Woods",,51.595271,-0.697166,,,,,,
040000005856,,"The Green Dragon PH",,51.59468,-0.700605,,,,,,
040000003875,,"Blind Lane",,51.591101,-0.703031,,,,,,
040000003873,,"Waborne Road",,51.584092,-0.70922,,,,,,
040000003831,,"The Parade",,51.580706,-0.713704,,,,,,
040000003840,,"St Mark's Church",,51.575586,-0.710039,,,,,,
040000003422,,"Whincup Close",,51.617835,-0.765708,,,,,,
040000005009,,Moorside,,51.599593,-0.685593,,,,,,
040000003846,,"The Parade",,51.579986,-0.713594,,,,,,
040000003848,,"Loddon Road",,51.582489,-0.71146,,,,,,
040000003970,,"Waborne Road",,51.584192,-0.709304,,,,,,
040000003850,,"Blind Lane",,51.591781,-0.702752,,,,,,
040000003856,,"The Green Dragon PH",,51.594748,-0.700285,,,,,,
040000003858,,"Northern Woods",,51.595334,-0.697222,,,,,,
040000003860,,"Straight Bit",,51.597353,-0.700846,,,,,,
040000003862,,"Chapman Lane",,51.598701,-0.704013,,,,,,
040000003126,,"The Common",,51.600764,-0.709282,,,,,,
0400000T9001,,"Oxford Road",,51.631537,-0.755495,,,,,,
040000005010,,Moorside,,51.599184,-0.686023,,,,,,
040000003414,,"West End Road",,51.631551,-0.762678,,,,,,
040000002969,,"Bridge Street",,51.631023,-0.757722,,,,,,
040000003865,,"St Mark's Church",,51.575539,-0.709867,,,,,,
040000003867,,"Hedsor Road",,51.57233,-0.709193,,,,,,
040000003869,,"Ferry Lane",,51.569398,-0.707515,,,,,,
040000003923,,"Riversdale South",,51.565101,-0.705978,,,,,,
036006195196,,"Cookham Village Memorial",,51.559775,-0.710601,,,,,,
036006001026,,"Cookham Rise Railway Station",,51.557599,-0.722982,,,,,,
036006193193,,"St Elizabeth's Church",,51.55821,-0.727927,,,,,,
036006180181,,"High Road",,51.556981,-0.732275,,,,,,
036006182183,,"Broom Hill",,51.554853,-0.731786,,,,,,
036006184184,,"The Shaw",,51.553018,-0.730856,,,,,,
036006186186,,"Hillcrest Avenue",,51.552044,-0.726469,,,,,,
036006188188,,"Southwood Gardens",,51.550121,-0.727417,,,,,,
036006111112,,"Kinghorn Park",,51.54058,-0.732355,,,,,,
036006110110,,"Switchback Road Shops",,51.538096,-0.7313,,,,,,
036006104105,,"Well House Road",,51.535907,-0.730149,,,,,,
036006106107,,"Kent Way",,51.534076,-0.731267,,,,,,
036006001014,,"Furze Platt Station",,51.532768,-0.72917,,,,,,
036006100101,,"Moor Lane",,51.532399,-0.725042,,,,,,
036006099099,,"Australia Avenue",,51.530337,-0.72311,,,,,,
036006097098,,"St Joseph's Church",,51.526434,-0.720596,,,,,,
036006009010,,"Frascati Way",,51.521136,-0.723786,,,,,,
036006008008,,Broadway,,51.52139,-0.720665,,,,,,
036006007007,,"Market Street",,51.522875,-0.719961,,,,,,
036006005005,,Library,,51.522487,-0.718141,,,,,,
036006006008,,"Bridge Avenue",,51.521865,-0.716371,,,,,,
036006140141,,Sainsbury's,,51.524557,-0.718983,,,,,,
036006097097,,"St Joseph's Church",,51.526817,-0.72109,,,,,,
036006001464,,"Australia Avenue",,51.530102,-0.723045,,,,,,
036006100100,,"Moor Lane",,51.532265,-0.725133,,,,,,
036006002014,,"Furze Platt Station",,51.532501,-0.729437,,,,,,
036006106106,,"Kent Way",,51.534662,-0.731438,,,,,,
036006104104,,"Well House Road",,51.536174,-0.729825,,,,,,
036006108108,,"Spencers Bridge",,51.537284,-0.729419,,,,,,
036006110111,,"Switchback Road Shops",,51.538438,-0.731579,,,,,,
036006111111,,"Kinghorn Park",,51.539923,-0.732302,,,,,,
